"id","path__x","path__y","labelName"
"cjy3w6gws002j01k0beh7auju","20.92","86.61","lung-carcinoma"
"","20.86","86.73",""
"","20.86","86.75",""
"","20.85","86.77",""
"","20.85","86.79",""
"","20.85","86.81",""
"","20.83","86.85",""
"","20.83","86.87",""
"","20.82","86.89",""
"","20.81","86.91",""
"","20.8","86.91",""
"","20.79","86.93",""
"","20.78","86.95",""
"","20.78","86.97",""
"","20.77","86.99",""
"","20.76","87.01",""
"","20.75","87.01",""
"","20.74","87.03",""
"","20.73","87.05",""
"","20.72","87.05",""
"","20.71","87.07",""
"","20.7","87.09",""
"","20.69","87.11",""
"","20.68","87.11",""
"","20.67","87.11",""
"","20.66","87.11",""
"","20.65","87.11",""
"","20.64","87.11",""
"","20.63","87.11",""
"","20.63","87.09",""
"","20.62","87.09",""
"","20.61","87.09",""
"","20.61","87.07",""
"","20.6","87.07",""
"","20.59","87.05",""
"","20.58","87.03",""
"","20.57","87.03",""
"","20.57","87.01",""
"","20.56","87.01",""
"","20.56","86.99",""
"","20.56","86.97",""
"","20.55","86.97",""
"","20.55","86.95",""
"","20.54","86.93",""
"","20.54","86.91",""
"","20.54","86.89",""
"","20.53","86.89",""
"","20.53","86.87",""
"","20.52","86.85",""
"","20.52","86.83",""
"","20.51","86.81",""
"","20.51","86.79",""
"","20.5","86.77",""
"","20.49","86.73",""
"","20.49","86.71",""
"","20.49","86.69",""
"","20.49","86.67",""
"","20.48","86.65",""
"","20.48","86.61",""
"","20.47","86.59",""
"","20.46","86.56",""
"","20.46","86.54",""
"","20.46","86.5",""
"","20.45","86.48",""
"","20.45","86.46",""
"","20.44","86.44",""
"","20.44","86.42",""
"","20.44","86.38",""
"","20.44","86.36",""
"","20.43","86.34",""
"","20.43","86.32",""
"","20.43","86.3",""
"","20.43","86.26",""
"","20.42","86.24",""
"","20.42","86.22",""
"","20.42","86.2",""
"","20.42","86.16",""
"","20.42","86.14",""
"","20.42","86.12",""
"","20.42","86.1",""
"","20.42","86.06",""
"","20.42","86.04",""
"","20.42","86.02",""
"","20.42","86",""
"","20.42","85.98",""
"","20.42","85.94",""
"","20.42","85.92",""
"","20.42","85.9",""
"","20.43","85.86",""
"","20.43","85.84",""
"","20.44","85.79",""
"","20.44","85.77",""
"","20.45","85.73",""
"","20.46","85.71",""
"","20.46","85.67",""
"","20.47","85.65",""
"","20.48","85.61",""
"","20.49","85.57",""
"","20.49","85.55",""
"","20.49","85.51",""
"","20.5","85.49",""
"","20.5","85.47",""
"","20.51","85.43",""
"","20.52","85.41",""
"","20.52","85.39",""
"","20.53","85.37",""
"","20.53","85.35",""
"","20.54","85.33",""
"","20.55","85.31",""
"","20.56","85.29",""
"","20.56","85.25",""
"","20.57","85.23",""
"","20.57","85.21",""
"","20.58","85.19",""
"","20.59","85.17",""
"","20.6","85.15",""
"","20.61","85.13",""
"","20.62","85.11",""
"","20.62","85.09",""
"","20.63","85.06",""
"","20.63","85.04",""
"","20.64","85.02",""
"","20.64","85",""
"","20.65","84.98",""
"","20.66","84.98",""
"","20.66","84.96",""
"","20.67","84.94",""
"","20.68","84.94",""
"","20.69","84.92",""
"","20.69","84.9",""
"","20.7","84.88",""
"","20.71","84.86",""
"","20.71","84.84",""
"","20.71","84.82",""
"","20.72","84.8",""
"","20.73","84.78",""
"","20.74","84.76",""
"","20.74","84.74",""
"","20.75","84.72",""
"","20.76","84.7",""
"","20.77","84.68",""
"","20.78","84.66",""
"","20.78","84.64",""
"","20.78","84.62",""
"","20.79","84.6",""
"","20.8","84.58",""
"","20.81","84.58",""
"","20.81","84.54",""
"","20.82","84.52",""
"","20.83","84.5",""
"","20.84","84.48",""
"","20.85","84.46",""
"","20.85","84.42",""
"","20.86","84.4",""
"","20.86","84.36",""
"","20.87","84.34",""
"","20.88","84.29",""
"","20.89","84.25",""
"","20.9","84.23",""
"","20.91","84.19",""
"","20.92","84.17",""
"","20.93","84.13",""
"","20.93","84.09",""
"","20.93","84.07",""
"","20.94","84.03",""
"","20.95","84.01",""
"","20.96","83.99",""
"","20.96","83.97",""
"","20.97","83.93",""
"","20.98","83.91",""
"","20.98","83.89",""
"","20.99","83.85",""
"","21","83.83",""
"","21","83.81",""
"","21","83.79",""
"","21","83.75",""
"","21.01","83.73",""
"","21.02","83.71",""
"","21.02","83.69",""
"","21.02","83.67",""
"","21.03","83.67",""
"","21.03","83.65",""
"","21.04","83.65",""
"","21.04","83.63",""
"","21.05","83.63",""
"","21.06","83.63",""
"","21.07","83.63",""
"","21.07","83.61",""
"","21.08","83.61",""
"","21.08","83.59",""
"","21.09","83.59",""
"","21.1","83.57",""
"","21.1","83.54",""
"","21.11","83.52",""
"","21.12","83.5",""
"","21.13","83.48",""
"","21.14","83.46",""
"","21.14","83.44",""
"","21.15","83.42",""
"","21.15","83.4",""
"","21.16","83.38",""
"","21.17","83.36",""
"","21.17","83.34",""
"","21.18","83.32",""
"","21.19","83.3",""
"","21.19","83.28",""
"","21.19","83.26",""
"","21.2","83.24",""
"","21.2","83.22",""
"","21.2","83.2",""
"","21.2","83.18",""
"","21.21","83.16",""
"","21.21","83.14",""
"","21.21","83.12",""
"","21.21","83.1",""
"","21.21","83.08",""
"","21.21","83.06",""
"","21.21","83.04",""
"","21.21","83.02",""
"","21.21","83",""
"","21.21","82.98",""
"","21.2","82.96",""
"","21.2","82.94",""
"","21.2","82.92",""
"","21.19","82.92",""
"","21.19","82.9",""
"","21.18","82.88",""
"","21.18","82.86",""
"","21.17","82.84",""
"","21.17","82.82",""
"","21.16","82.82",""
"","21.16","82.79",""
"","21.16","82.77",""
"","21.15","82.75",""
"","21.15","82.73",""
"","21.15","82.71",""
"","21.15","82.69",""
"","21.15","82.67",""
"","21.15","82.65",""
"","21.15","82.63",""
"","21.15","82.61",""
"","21.15","82.59",""
"","21.15","82.57",""
"","21.15","82.55",""
"","21.16","82.53",""
"","21.16","82.51",""
"","21.16","82.49",""
"","21.17","82.47",""
"","21.18","82.43",""
"","21.18","82.41",""
"","21.19","82.39",""
"","21.2","82.37",""
"","21.2","82.33",""
"","21.21","82.31",""
