"id","path__x","path__y","labelName"
"cjxlu6n62001201ju53qdfy82","6.77","52","lung-carcinoma"
"","7.21","50.84",""
"","7.31","50.58",""
"","7.42","50.45",""
"","7.53","50.32",""
"","7.64","50.32",""
"","7.64","50.19",""
"","7.75","50.19",""
"","7.75","50.06",""
"","7.85","49.94",""
"","7.85","49.81",""
"","7.96","49.81",""
"","7.96","49.68",""
"","8.07","49.68",""
"","8.07","49.55",""
"","8.18","49.55",""
"","8.18","49.42",""
"","8.29","49.42",""
"","8.29","49.29",""
"","8.29","49.16",""
"","8.4","49.16",""
"","8.4","49.03",""
"","8.4","48.9",""
"","8.5","48.9",""
"","8.61","48.77",""
"","8.72","48.65",""
"","8.72","48.52",""
"","8.83","48.39",""
"","8.83","48.26",""
"","8.94","48.26",""
"","9.04","48.13",""
"","9.04","48",""
"","9.15","47.87",""
"","9.15","47.74",""
"","9.26","47.61",""
"","9.37","47.48",""
"","9.37","47.35",""
"","9.48","47.23",""
"","9.58","46.97",""
"","9.69","46.84",""
"","9.8","46.58",""
"","9.91","46.45",""
"","10.12","46.19",""
"","10.23","45.94",""
"","10.45","45.55",""
"","10.56","45.42",""
"","10.77","45.16",""
"","10.88","45.03",""
"","10.99","44.77",""
"","11.1","44.65",""
"","11.2","44.52",""
"","11.2","44.39",""
"","11.31","44.39",""
"","11.31","44.26",""
"","11.42","44.26",""
"","11.42","44.13",""
"","11.53","44",""
"","11.53","43.87",""
"","11.64","43.74",""
"","11.64","43.61",""
"","11.64","43.48",""
"","11.75","43.48",""
"","11.75","43.35",""
"","11.85","43.23",""
"","11.85","43.1",""
"","11.96","43.1",""
"","11.96","42.97",""
"","12.07","42.97",""
"","12.07","42.84",""
"","12.18","42.71",""
"","12.29","42.58",""
"","12.39","42.45",""
"","12.5","42.32",""
"","12.61","42.19",""
"","12.61","42.06",""
"","12.72","41.94",""
"","12.83","41.94",""
"","12.83","41.81",""
"","12.93","41.68",""
"","13.04","41.55",""
"","13.04","41.42",""
"","13.15","41.42",""
"","13.15","41.29",""
"","13.26","41.16",""
"","13.37","41.03",""
"","13.37","40.9",""
"","13.47","40.77",""
"","13.58","40.77",""
"","13.69","40.52",""
"","13.69","40.39",""
"","13.8","40.26",""
"","13.91","40.26",""
"","13.91","40.13",""
"","14.01","40",""
"","14.01","39.87",""
"","14.12","39.87",""
"","14.12","39.74",""
"","14.23","39.74",""
"","14.23","39.61",""
"","14.23","39.48",""
"","14.34","39.48",""
"","14.34","39.35",""
"","14.45","39.23",""
"","14.45","39.1",""
"","14.55","38.97",""
"","14.66","38.84",""
"","14.77","38.71",""
"","14.77","38.58",""
"","14.88","38.58",""
"","14.99","38.32",""
"","14.99","38.19",""
"","15.1","38.06",""
"","15.2","37.94",""
"","15.31","37.81",""
"","15.31","37.68",""
"","15.42","37.68",""
"","15.42","37.55",""
"","15.53","37.55",""
"","15.53","37.42",""
"","15.53","37.29",""
"","15.64","37.16",""
"","15.74","37.03",""
"","15.74","36.9",""
"","15.74","36.77",""
"","15.85","36.65",""
"","15.85","36.52",""
"","15.96","36.52",""
"","15.96","36.39",""
"","16.07","36.26",""
"","16.07","36.13",""
"","16.07","36",""
"","16.18","36",""
"","16.18","35.87",""
"","16.28","35.87",""
"","16.28","35.74",""
"","16.28","35.61",""
"","16.39","35.48",""
"","16.5","35.48",""
"","16.5","35.35",""
"","16.61","35.23",""
"","16.61","35.1",""
"","16.72","34.97",""
"","16.82","34.84",""
"","16.82","34.71",""
"","16.93","34.45",""
"","17.04","34.19",""
"","17.15","34.19",""
"","17.26","33.94",""
"","17.36","33.68",""
"","17.47","33.55",""
"","17.58","33.29",""
"","17.69","33.16",""
"","17.69","33.03",""
"","17.8","32.9",""
"","17.9","32.65",""
