"id","path__x","path__y","labelName"
"cjx2ubyir000h01mcf6c0fc9w","100.19","31.83","colon-adenocarcinoma"
"","99.68","31.03",""
"","99.57","31.03",""
"","99.34","31.03",""
"","99.17","30.96",""
"","99.12","30.96",""
"","98.95","30.89",""
"","98.78","30.75",""
"","98.78","30.67",""
"","98.66","30.31",""
"","98.66","30.17",""
"","98.55","30.02",""
"","98.38","29.74",""
"","98.27","29.59",""
"","98.21","29.52",""
"","98.1","29.45",""
"","98.1","29.37",""
"","97.98","29.23",""
"","97.81","29.09",""
"","97.64","28.94",""
"","97.42","28.8",""
"","97.3","28.72",""
"","97.08","28.58",""
"","96.96","28.51",""
"","96.74","28.36",""
"","96.51","28.29",""
"","96.4","28.22",""
"","96.17","27.93",""
"","95.95","27.64",""
"","95.83","27.5",""
"","95.61","27.21",""
"","95.44","26.99",""
"","95.38","26.85",""
"","95.15","26.7",""
"","94.98","26.56",""
"","94.87","26.49",""
"","94.64","26.34",""
"","94.42","26.2",""
"","94.08","26.05",""
"","93.91","25.98",""
"","93.79","25.98",""
"","93.45","25.84",""
"","93.23","25.69",""
"","92.94","25.55",""
"","92.77","25.4",""
"","92.55","25.33",""
"","92.43","25.26",""
"","92.32","25.19",""
"","92.15","25.19",""
"","91.92","25.12",""
"","91.64","25.12",""
"","91.53","25.12",""
"","91.24","25.04",""
"","91.07","24.97",""
"","90.79","24.9",""
"","90.56","24.75",""
"","90.34","24.61",""
"","90.22","24.68",""
"","89.94","24.68",""
"","89.83","24.68",""
"","89.6","24.75",""
"","89.43","24.83",""
"","89.2","24.97",""
"","89.09","25.04",""
"","88.86","25.12",""
"","88.75","25.04",""
"","88.58","25.12",""
"","88.47","25.12",""
"","88.41","25.12",""
"","88.36","25.12",""
"","88.3","25.19",""
"","88.3","25.33",""
"","88.24","25.33",""
"","88.19","25.4",""
"","88.07","25.48",""
"","87.96","25.55",""
"","87.85","25.69",""
"","87.73","25.84",""
"","87.68","25.91",""
"","87.62","25.98",""
"","87.56","25.98",""
"","87.51","26.05",""
"","87.45","26.05",""
"","87.39","26.05",""
"","87.34","26.05",""
"","87.34","26.13",""
"","87.28","26.13",""
"","87.22","26.13",""
"","87.17","26.2",""
"","87.11","26.13",""
"","87","26.05",""
"","86.94","25.98",""
"","86.83","25.98",""
"","86.77","25.84",""
"","86.71","25.76",""
"","86.6","25.62",""
"","86.54","25.48",""
"","86.49","25.19",""
"","86.49","25.12",""
"","86.43","24.83",""
"","86.43","24.68",""
"","86.37","24.39",""
"","86.32","24.03",""
"","86.32","23.67",""
"","86.32","23.53",""
"","86.26","23.38",""
"","86.2","23.31",""
"","86.15","23.09",""
"","86.03","22.88",""
"","85.92","22.66",""
"","85.86","22.52",""
"","85.75","22.23",""
"","85.69","22.01",""
"","85.58","21.72",""
"","85.47","21.43",""
"","85.35","21.14",""
"","85.3","21.07",""
"","85.18","20.78",""
"","85.13","20.71",""
"","85.01","20.5",""
"","84.9","20.28",""
"","84.73","20.06",""
"","84.67","19.99",""
"","84.45","19.77",""
"","84.33","19.7",""
"","84.11","19.56",""
"","83.88","19.41",""
"","83.77","19.27",""
"","83.65","19.12",""
"","83.48","18.98",""
"","83.43","18.83",""
"","83.26","18.69",""
"","83.09","18.62",""
"","82.97","18.62",""
"","82.92","18.69",""
"","82.86","18.83",""
"","82.8","18.91",""
"","82.63","19.05",""
"","82.46","19.34",""
"","82.35","19.7",""
"","82.29","19.85",""
"","82.24","20.28",""
"","82.24","20.35",""
"","82.29","20.71",""
"","82.41","20.86",""
"","82.52","21.07",""
"","82.63","21.14",""
"","82.75","21.29",""
"","82.86","21.36",""
"","82.97","21.51",""
"","83.09","21.72",""
"","83.14","21.94",""
"","83.2","22.01",""
"","83.2","22.23",""
"","83.2","22.3",""
"","83.14","22.3",""
"","83.09","22.23",""
"","82.97","22.23",""
"","82.97","22.16",""
"","82.86","21.94",""
"","82.75","21.87",""
"","82.52","21.58",""
"","82.29","21.14",""
"","82.01","20.64",""
"","81.84","20.5",""
"","81.67","20.28",""
"","81.33","19.99",""
"","81.05","19.7",""
"","80.76","19.48",""
"","80.65","19.34",""
"","80.37","19.05",""
"","80.09","18.83",""
"","79.97","18.69",""
"","79.75","18.55",""
"","79.52","18.33",""
"","79.24","18.11",""
"","79.12","17.9",""
"","78.95","17.61",""
"","78.84","17.46",""
"","78.73","17.25",""
"","78.67","17.03",""
"","78.61","16.74",""
"","78.56","16.6",""
"","78.39","16.38",""
"","78.33","16.24",""
"","78.22","15.95",""
"","78.1","15.66",""
"","77.99","15.37",""
"","77.93","15.23",""
"","77.82","15.01",""
